Field,Career,Skills,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Computer Science,Principal,"Critical Thinking, Research, Time Management",3.850776672399934,1,0,4,0,5,0,0,3,3,2,3,0,0,0
Law,Fluid Mechanics Engineer,"Creativity, Time Management, SQL",4.719442543422943,7,1,1,1,9,0,1,4,1,0,0,0,1,1
Marketing,Geneticist,"Time Management, Communication, Problem Solving",2.885143814830658,7,0,4,0,1,0,1,0,2,0,4,4,3,0
Art,Judge,"SQL, Team Leadership, Data Analysis",4.837437922747123,5,1,2,0,6,1,2,1,1,3,0,2,4,0
Computer Science,Financial Analyst,"Creativity, Research, Python",4.075345160360156,5,2,0,0,7,1,1,3,2,4,1,2,0,0
Physics,Special Education Teacher,"Research, Python, SQL",2.9036245966265795,3,0,0,0,9,0,4,1,4,1,3,1,1,1
Business,Cybersecurity Analyst,"Problem Solving, Team Leadership, SQL",4.996319123572646,1,0,1,1,3,0,4,0,0,4,0,0,1,1
Medicine,Physicist,"Team Leadership, SQL, Research",4.040635819668776,9,2,0,1,6,0,1,4,4,3,0,0,3,1
Business,Teacher,"Problem Solving, Time Management, Data Analysis",4.589660869051876,1,0,2,0,8,1,3,1,1,4,3,2,1,0
Law,Accountant,"Research, Data Analysis, Team Leadership",4.587296104797043,4,0,2,1,1,1,3,1,3,1,3,1,1,1
Biology,Acoustics Specialist,"Problem Solving, Python, Communication",4.693269424705855,5,1,0,0,2,1,2,1,0,1,3,2,0,0
Engineering,Art Therapist,"Communication, Data Analysis, Python",4.095901302688066,0,0,1,1,4,1,2,3,0,4,4,3,4,1
Physics,Biochemist,"Time Management, Creativity, Research",3.1572944393551947,8,2,2,0,7,1,4,1,2,4,1,3,0,0
Education,Ecologist,"Creativity, Communication, Research",3.3246263982081334,5,0,1,0,4,0,2,2,2,0,4,4,3,1
Art,Astronomer,"Data Analysis, Critical Thinking, Research",4.9284518902795185,9,0,2,1,7,0,3,4,2,4,1,4,1,1
Law,Musician,"Python, Team Leadership, Research",2.547565098271048,5,0,0,0,3,0,4,3,2,1,0,0,2,1
Engineering,Social Media Manager,"Data Analysis, SQL, Problem Solving",3.0744837448745583,2,1,1,1,8,1,2,3,0,3,1,3,3,0
Chemistry,Composer,"Team Leadership, Research, Python",4.017223376667922,2,2,0,0,2,1,2,1,1,4,2,2,2,1
Marketing,Astronomer,"Critical Thinking, Problem Solving, SQL",4.328533819509249,2,0,4,1,7,1,0,4,4,2,0,0,3,1
Law,Investment Banker,"Creativity, Critical Thinking, Problem Solving",4.946000654779362,9,1,2,1,8,1,1,0,1,3,4,2,3,0
Medicine,Zoologist,"Research, Data Analysis, SQL",4.757438667960246,9,2,1,1,3,0,3,0,2,4,2,1,1,1
Finance,Electrical Engineer,"Creativity, Research, SQL",4.5161458328033595,5,0,2,0,1,1,0,4,1,3,1,1,4,1
Engineering,Brand Manager,"Time Management, SQL, Critical Thinking",3.6094707990734483,5,2,4,0,7,1,4,4,0,0,1,1,4,1
Engineering,Physicist,"Creativity, Communication, Team Leadership",4.769585550978272,2,1,0,1,7,1,1,4,2,0,2,0,4,0
Computer Science,Social Media Manager,"Research, Critical Thinking, SQL",3.1363828074577627,6,0,0,1,3,1,1,4,0,1,3,3,3,0
Law,Biologist,"Critical Thinking, Problem Solving, SQL",4.21934742871062,2,1,0,0,0,0,0,2,1,3,3,2,2,0
Engineering,Human Resources Specialist,"Team Leadership, Research, Creativity",2.5935969868541005,5,1,1,1,6,1,3,3,0,0,2,0,3,0
Physics,AI Researcher,"Team Leadership, Research, Data Analysis",2.94558622361683,5,2,4,0,1,0,2,0,2,4,2,4,0,1
Physics,Urban Planner,"GIS, Urban Design, Zoning Laws",4.381353266144491,9,0,0,0,1,1,0,2,3,0,4,0,4,0
Music,Urban Planner,"GIS, Urban Design, Zoning Laws",4.465426934073514,3,0,4,1,5,0,0,0,0,4,4,1,3,1
Education,Web Developer,"Problem Solving, Data Analysis, Research",3.2900890242393306,8,0,1,0,9,0,2,1,3,4,2,4,3,1
Education,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",3.4125260048750645,1,2,2,1,9,1,2,4,1,0,3,4,1,1
Computer Science,Curriculum Developer,"Python, Problem Solving, Data Analysis",2.949390120937499,9,1,0,0,8,1,0,2,2,1,3,3,3,1
Architecture,Special Education Teacher,"SQL, Time Management, Creativity",3.1665338167075765,2,1,3,0,7,0,2,4,4,4,0,1,2,1
Chemistry,Art Therapist,"Problem Solving, Team Leadership, Research",3.1932766612621446,3,0,1,0,6,1,1,1,2,0,2,3,2,1
Education,School Counselor,"Python, Problem Solving, Research",4.475686171488989,7,0,0,1,1,0,2,0,4,1,3,3,2,1
Marketing,Zoologist,"Communication, Research, Problem Solving",3.608637281138001,5,1,1,0,4,1,0,3,4,1,2,3,1,0
Medicine,Pharmacist,"Problem Solving, Communication, Critical Thinking",4.811073647498056,3,2,1,0,1,1,4,3,1,2,3,1,2,0
Art,Mechanical Engineer,"Team Leadership, SQL, Creativity",4.380067670132482,0,1,1,0,2,0,2,0,2,1,4,0,2,0
Biology,Ecologist,"Creativity, Team Leadership, Problem Solving",3.8022381598420143,7,0,2,1,3,0,0,4,2,1,2,2,2,0
Medicine,AI Researcher,"Creativity, SQL, Python",3.0073122357979876,7,2,3,0,3,0,4,3,2,4,1,0,4,1
Chemistry,Entrepreneur,"SQL, Research, Python",4.723928057774975,3,1,0,1,4,1,0,1,1,0,3,3,4,1
Finance,Forensic Psychologist,"Team Leadership, Problem Solving, Critical Thinking",3.095225235115503,9,2,3,0,9,1,4,2,3,0,1,1,0,1
Medicine,Organic Chemist,"SQL, Critical Thinking, Creativity",4.6867175240500245,7,1,1,0,9,0,4,3,3,3,0,3,1,1
Marketing,Ecologist,"Problem Solving, Time Management, SQL",2.9438415734234544,4,1,1,0,1,1,2,3,3,2,2,2,1,1
Art,Manager,"Leadership, Project Management, Strategic Planning",3.9160673963891948,9,2,4,0,6,1,4,0,4,4,4,1,1,1
Music,Game Developer,"Python, Research, Creativity",3.6870444981969177,8,0,0,1,8,1,4,4,2,0,4,0,3,0
Architecture,Physicist,"Communication, Team Leadership, Python",3.0095109031999425,2,1,4,1,7,0,2,4,2,0,4,0,0,1
Psychology,Education Administrator,"Curriculum Design, Policy Management, Staff Supervision",3.7966032955865923,1,2,1,1,5,0,0,2,4,0,4,0,4,1
Medicine,Analytical Chemist,"Problem Solving, Research, Critical Thinking",2.99042592151177,8,1,1,1,3,1,3,2,1,2,1,3,0,1
Art,Web Developer,"Communication, Team Leadership, Critical Thinking",2.5802454799178904,7,2,0,0,9,1,1,1,4,4,0,3,0,0
Physics,Mechanical Engineer,"Time Management, Communication, Problem Solving",4.192292466411468,9,2,0,0,7,1,3,2,4,4,1,0,1,0
Engineering,Financial Analyst,"Data Analysis, Team Leadership, SQL",3.1386993567472876,8,2,2,0,1,1,0,4,0,1,2,2,4,1
Engineering,Zoologist,"Research, Communication, Critical Thinking",3.8931025202332314,0,0,3,0,6,1,2,2,3,1,1,1,2,0
Psychology,Lawyer,"Team Leadership, Python, Research",4.847733023436303,4,2,2,0,1,0,4,4,3,2,1,3,2,0
Architecture,Software Developer,"Data Analysis, Problem Solving, Team Leadership",4.358072256935617,7,1,0,1,4,0,2,4,3,0,3,2,2,0
Architecture,Dentist,"SQL, Team Leadership, Creativity",4.181732611268475,9,1,4,1,2,0,0,3,3,4,1,2,4,1
Medicine,Biochemist,"Critical Thinking, Team Leadership, Time Management",3.434963196208907,4,0,2,0,8,1,1,4,0,4,0,4,4,0
Computer Science,Biomedical Engineer,"SQL, Problem Solving, Creativity",3.258756030766617,9,1,4,0,3,1,1,1,4,1,3,2,2,0
Music,Graphic Designer,"Problem Solving, Critical Thinking, Data Analysis",2.5520166944475915,8,1,1,0,1,1,4,2,2,2,0,4,3,0
Education,Acoustics Specialist,"Critical Thinking, Data Analysis, Python",4.182039853314449,7,0,1,1,2,0,1,4,0,4,2,1,4,1
Finance,Organic Chemist,"Research, SQL, Team Leadership",2.7096481438324584,4,0,1,1,8,1,2,4,2,0,0,4,0,0
Medicine,Art Therapist,"Problem Solving, Python, Data Analysis",4.355762068586434,8,2,3,1,5,1,4,0,4,3,1,2,3,1
Architecture,Legal Analyst,"SQL, Problem Solving, Team Leadership",4.514888580790476,4,1,3,1,7,1,0,1,2,1,1,1,1,1
Architecture,Legal Analyst,"Time Management, Team Leadership, Creativity",4.384219984452782,5,0,0,0,9,0,2,4,0,2,1,3,4,0
Psychology,Conductor,"Research, Problem Solving, Time Management",2.6580456492697717,6,2,3,1,8,1,0,1,2,3,3,4,0,0
Art,Industrial-Organizational Psychologist,"Communication, Team Leadership, Research",3.0450135882578455,3,2,4,0,2,1,3,2,2,3,3,0,2,1
Music,Digital Marketing Specialist,"Team Leadership, Python, Time Management",3.248899755346596,3,1,1,1,5,0,3,0,0,1,4,1,4,1
Law,Biomedical Engineer,"Creativity, Research, Team Leadership",4.364349437105345,7,0,0,0,7,1,0,0,0,1,4,0,2,0
Biology,School Psychologist,"Data Analysis, Communication, SQL",4.420675706748641,8,0,0,0,5,0,0,0,2,2,2,1,3,1
Engineering,Acoustics Specialist,"Communication, Research, Creativity",4.799340211612873,0,1,0,1,2,0,0,2,3,0,1,4,1,1
Chemistry,Doctor,"Problem Solving, Critical Thinking, Research",3.4216710111908157,9,1,4,0,4,0,1,4,0,4,3,3,2,0
Education,Market Research Analyst,"Creativity, Research, Communication",3.0111774179376214,9,1,3,1,4,0,2,0,1,1,4,1,3,1
Law,Geneticist,"Time Management, Research, Communication",3.6230761408730245,7,0,0,1,3,0,0,1,3,4,2,2,3,1
Education,Game Developer,"Data Analysis, Python, Critical Thinking",3.7044171160731096,1,1,0,1,2,0,3,1,3,3,1,0,3,0
Psychology,Inorganic Chemist,"Team Leadership, Problem Solving, Python",3.398639097010835,6,1,4,1,6,0,1,3,3,4,2,2,1,1
Art,Inorganic Chemist,"SQL, Research, Critical Thinking",3.047195456168037,0,1,0,0,5,1,0,2,2,0,4,3,0,0
Biology,Graphic Designer,"SQL, Critical Thinking, Team Leadership",4.958107163843589,7,1,0,0,3,0,2,4,1,1,3,4,1,0
Art,Game Developer,"Team Leadership, Critical Thinking, SQL",3.421604509245557,2,1,4,1,4,0,4,4,3,3,4,0,4,1
Business,Market Research Analyst,"Creativity, Team Leadership, Research",2.852955489421442,2,2,0,1,4,1,2,3,1,3,4,3,1,0
Marketing,Legal Analyst,"Data Analysis, Communication, Critical Thinking",4.550546248861483,3,1,1,1,0,0,1,1,4,1,2,1,1,1
Computer Science,Accountant,"Problem Solving, Critical Thinking, Research",3.2354152963597644,6,0,4,1,9,0,2,4,3,0,0,4,1,0
Marketing,Quantum Physicist,"Creativity, Data Analysis, Team Leadership",3.0071736994619025,0,2,1,0,7,0,4,1,3,0,1,1,2,1
Finance,Legal Secretary,"Data Analysis, Team Leadership, Communication",3.5208002211110783,1,0,3,1,0,1,1,1,4,4,1,4,0,1
Law,Construction Manager,"SQL, Team Leadership, Communication",3.3092284413522437,1,1,0,0,8,1,4,2,3,4,1,2,3,1
Business,Biologist,"Critical Thinking, Communication, Research",3.573058524694703,2,0,4,1,7,1,2,4,2,0,0,4,1,1
Computer Science,Accountant,"Creativity, Critical Thinking, Python",3.198987256308981,9,0,2,0,3,1,3,1,2,1,1,4,1,0
Computer Science,Lawyer,"SQL, Data Analysis, Creativity",3.384124871500285,0,1,2,0,6,0,1,2,4,4,0,2,2,1
Music,Counselor,"Research, Data Analysis, Time Management",3.560052015103816,2,0,4,1,2,1,2,0,1,3,3,0,2,1
Music,Landscape Architect,"Python, Problem Solving, Time Management",3.8161919359196017,5,1,4,1,0,0,3,3,4,0,4,2,0,0
Medicine,School Counselor,"SQL, Team Leadership, Creativity",4.35300796606308,5,2,1,0,6,0,2,4,3,3,0,0,0,0
Education,Quantum Physicist,"Time Management, Critical Thinking, Communication",3.5686060248902,4,0,1,1,1,0,4,2,2,2,3,0,3,0
Music,Legal Secretary,"Time Management, Team Leadership, Communication",3.8555790495112614,6,0,3,0,3,0,1,1,1,0,4,1,3,1
Psychology,Aerospace Engineer,"Communication, SQL, Time Management",4.046469287495525,4,1,3,0,9,0,3,1,4,1,4,2,1,0
Education,Art Therapist,"Python, Communication, Research",3.4580917830633515,7,0,1,1,3,1,4,4,4,2,3,0,1,0
Engineering,Advertising Manager,"Communication, Creativity, SQL",4.048454688916041,3,1,3,0,9,1,2,4,2,1,2,2,3,0
Biology,Digital Marketing Specialist,"SQL, Python, Research",4.63885156998084,6,2,1,1,6,0,0,2,1,3,0,4,1,1
Law,Chemical Engineer,"Critical Thinking, Python, Problem Solving",3.6228341721742288,1,1,2,0,4,1,0,3,0,1,2,2,0,1
Education,Counselor,"Communication, Creativity, Critical Thinking",3.7988340410715273,8,0,1,0,6,0,4,2,2,4,4,3,1,1
Biology,Market Research Analyst,"Critical Thinking, Creativity, Data Analysis",2.852429858196553,5,1,3,1,7,0,3,4,4,3,1,0,2,0
Art,School Counselor,"Team Leadership, Research, Problem Solving",3.1304151494586883,3,1,3,0,0,1,1,3,2,1,4,2,3,1
Law,Illustrator,"Team Leadership, Critical Thinking, Research",3.328914815675177,6,2,1,0,7,1,4,3,1,4,2,4,2,1
Medicine,Credit Analyst,"Creativity, Data Analysis, Critical Thinking",3.1619473419166746,7,2,2,1,5,0,2,1,1,0,3,0,3,1
Education,Microbiologist,"Research, Time Management, Data Analysis",4.303533775892004,9,1,3,0,5,0,1,2,0,0,2,2,2,1
Biology,Ecologist,"Communication, Creativity, Critical Thinking",2.7904413922508366,1,2,0,1,4,1,1,3,2,2,4,3,2,1
Law,Special Education Teacher,"Critical Thinking, Team Leadership, Problem Solving",4.238893036243992,3,1,4,0,4,1,2,3,3,3,4,2,1,1
Biology,Civil Engineer,"Critical Thinking, SQL, Data Analysis",2.5399903267953503,6,1,0,0,0,0,3,4,1,3,3,2,0,0
Business,Dentist,"Research, SQL, Problem Solving",2.9416011041809416,7,0,0,1,3,1,0,3,1,4,0,0,0,1
Medicine,Teacher,"Creativity, Critical Thinking, Time Management",4.940371602913068,1,2,1,1,3,1,1,1,3,3,1,2,1,0
Computer Science,Doctor,"Data Analysis, Team Leadership, SQL",3.291704858666088,1,2,2,1,8,1,2,2,2,0,0,3,3,0
Marketing,Industrial-Organizational Psychologist,"SQL, Creativity, Critical Thinking",4.820094943615393,7,2,2,1,8,0,1,1,3,2,2,1,2,0
Biology,Art Therapist,"Creativity, Problem Solving, Data Analysis",3.5508029159086796,3,2,0,1,8,0,0,3,1,1,4,0,3,1
Marketing,Human Resources Specialist,"Time Management, SQL, Problem Solving",3.1777017841590913,1,0,4,0,5,0,2,0,2,3,0,4,3,1
Marketing,Lawyer,"Creativity, Communication, Data Analysis",4.191490181039655,8,1,0,0,3,1,4,3,2,4,4,4,0,1
Law,Data Scientist,"SQL, Data Analysis, Python",3.821968986961247,8,1,0,1,3,1,1,3,3,4,3,3,2,1
Psychology,Legal Consultant,"Data Analysis, Time Management, Problem Solving",4.466914959242764,9,0,3,0,8,1,0,1,1,0,2,3,0,1
Art,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",3.3337585095565876,9,1,4,1,1,0,1,1,1,1,2,2,2,1
Biology,Data Scientist,"Research, Team Leadership, Communication",4.979475684714653,8,0,2,0,8,1,4,1,3,3,0,2,0,0
Engineering,Electrical Engineer,"Time Management, Creativity, Research",3.7678799521430575,9,1,3,1,7,1,3,2,1,0,2,2,0,0
Art,Entrepreneur,"Team Leadership, Python, Time Management",3.38755532156533,0,0,1,0,7,1,0,0,1,1,4,0,1,0
Psychology,Paralegal,"Team Leadership, Problem Solving, Research",4.522731014017449,7,1,0,1,6,0,0,2,2,0,1,4,3,1
Architecture,Financial Analyst,"Communication, Team Leadership, Problem Solving",3.157548874797583,0,1,2,0,8,1,2,4,0,4,1,1,4,1
Finance,Urban Planner,"GIS, Urban Design, Zoning Laws",3.695244282107534,7,2,4,0,1,0,1,4,0,0,3,1,2,1
Business,Digital Marketing Specialist,"Communication, Critical Thinking, Time Management",4.8782926555645325,3,1,1,1,2,0,0,2,2,2,1,4,0,1
Architecture,Conductor,"Creativity, Data Analysis, Problem Solving",4.556228820852567,7,1,3,0,0,1,1,2,2,2,2,0,1,1
Chemistry,Electrical Engineer,"Critical Thinking, Data Analysis, Research",3.968524573906193,1,2,3,0,3,0,3,1,4,1,4,0,0,1
Marketing,Credit Analyst,"Research, Critical Thinking, Time Management",4.336482309268378,2,2,4,0,5,1,1,0,1,2,1,0,2,0
Marketing,Chemical Engineer,"Problem Solving, Research, Creativity",2.9924512054054717,2,2,1,0,4,1,3,0,2,2,3,0,1,1
Biology,Paralegal,"Critical Thinking, Problem Solving, Python",3.7300638611327983,9,1,2,0,0,1,0,1,3,2,0,3,3,1
Engineering,Analytical Chemist,"SQL, Creativity, Research",3.4422963187950955,1,0,0,0,3,0,2,2,2,4,2,4,4,0
Architecture,Psychologist,"Time Management, Research, SQL",3.7343875161721893,6,2,3,0,6,0,2,2,4,1,1,3,0,1
Law,Illustrator,"Creativity, Communication, Team Leadership",2.831578127156459,5,1,0,0,4,1,3,4,4,4,2,2,2,0
Education,Inorganic Chemist,"Creativity, Data Analysis, Communication",3.315966414031691,6,2,3,0,0,1,1,0,1,3,3,2,0,1
Education,Financial Controller,"Creativity, Communication, SQL",3.1702510004555546,6,2,3,0,5,0,1,3,0,3,1,1,4,0
Architecture,Dentist,"Communication, Time Management, Python",4.144198442757118,1,0,2,1,2,0,0,3,2,0,2,3,2,0
Marketing,Data Scientist,"Time Management, Team Leadership, Python",4.144980698650857,5,2,0,1,0,0,0,0,3,1,3,1,4,1
Art,Marketing Manager,"SQL, Problem Solving, Team Leadership",4.104639300784097,7,0,0,0,7,0,4,4,3,0,0,2,0,1
Chemistry,Counselor,"Team Leadership, Time Management, SQL",3.2625677412696783,6,0,2,0,0,1,0,3,4,1,1,4,2,1
Art,Clinical Psychologist,"Creativity, Research, Data Analysis",4.538165118151939,4,2,2,0,6,0,4,2,4,0,0,3,0,0
Physics,Artist,"Problem Solving, Creativity, Communication",4.649939558849141,4,2,3,0,7,1,0,2,0,4,0,3,1,0
Marketing,Actuary,"SQL, Communication, Python",3.332779822501046,7,2,1,0,4,0,1,2,4,1,1,1,0,1
Music,Biologist,"Data Analysis, Team Leadership, SQL",3.9102520685720457,1,1,4,0,6,1,3,3,1,0,1,3,3,1
Engineering,Doctor,"Data Analysis, Problem Solving, Team Leadership",3.2915478947340984,6,0,3,1,9,1,1,4,0,4,3,1,1,0
Biology,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",2.5965536186728224,8,1,1,0,4,1,1,3,1,4,3,0,0,0
Engineering,Biomedical Engineer,"Critical Thinking, Data Analysis, Python",3.210882968068544,2,2,1,0,4,1,3,0,4,3,3,3,2,0
Computer Science,Judge,"Data Analysis, Creativity, SQL",4.388289850881865,0,0,2,0,2,1,2,0,4,1,0,3,3,1
Music,Physical Chemist,"Data Analysis, Communication, Research",4.931571765627327,8,0,4,0,0,0,4,2,4,2,4,4,2,0
Business,Sound Engineer,"Communication, Critical Thinking, Data Analysis",4.386505240065642,8,0,3,1,1,1,4,0,1,1,3,2,2,0
Architecture,Chemical Engineer,"Python, SQL, Communication",3.8205476556374918,6,0,0,1,8,1,3,1,2,4,4,4,3,0
Physics,Urban Planner,"GIS, Urban Design, Zoning Laws",4.6917174916038356,6,0,1,1,6,1,2,1,1,4,4,4,4,0
Engineering,Acoustics Specialist,"Critical Thinking, Data Analysis, Research",3.813824348697783,2,1,1,0,2,0,2,1,1,2,2,4,2,1
Medicine,Architect,"Creativity, Data Analysis, Research",2.7893558882909075,9,2,4,0,3,0,2,2,1,1,1,3,3,0
Chemistry,Entrepreneur,"Python, Data Analysis, Communication",2.9155612971760574,7,2,4,1,1,0,1,2,1,1,2,3,0,0
Music,Electrical Engineer,"Data Analysis, Research, Python",2.7382712384174197,9,2,1,1,7,0,1,1,4,1,3,1,0,1
Law,Art Therapist,"Data Analysis, Problem Solving, Critical Thinking",2.817219423086699,1,1,1,0,9,1,1,2,2,4,2,4,0,1
Finance,Music Teacher,"Python, Research, Critical Thinking",4.8586016411448885,2,1,2,1,9,0,2,2,2,4,3,3,2,1
Marketing,Mechanical Engineer,"Communication, Critical Thinking, Python",2.86951861261158,5,2,1,0,2,0,3,3,0,4,0,3,0,1
Psychology,Aerospace Engineer,"Problem Solving, Creativity, Research",2.5404550932082537,5,1,2,1,5,0,3,3,0,2,1,3,3,1
Education,Microbiologist,"Creativity, Problem Solving, Python",3.954866351312443,6,2,3,0,2,0,2,1,4,2,2,4,1,1
Marketing,School Psychologist,"Problem Solving, Team Leadership, Python",3.8872278160326257,8,0,2,0,6,1,3,3,4,1,4,1,3,0
Medicine,Biochemist,"Team Leadership, Communication, Data Analysis",2.7899718164405223,9,1,3,1,2,0,1,0,3,4,4,4,4,0
Physics,Biomedical Engineer,"Python, Time Management, SQL",4.1466770346309225,6,0,3,1,0,0,2,1,1,1,4,1,4,0
Art,Inorganic Chemist,"Time Management, Python, Problem Solving",4.435435195597571,0,0,3,1,0,0,2,0,1,0,2,0,0,0
Physics,Chemist,"Analytical Chemistry, Lab Techniques, Spectroscopy",3.6004737006514045,8,2,1,0,8,1,3,4,4,3,2,2,2,0
Psychology,Biomedical Engineer,"Problem Solving, Time Management, Team Leadership",3.386066122147475,3,0,2,0,3,1,2,0,0,4,4,4,4,0
Chemistry,Digital Marketing Specialist,"Communication, Data Analysis, Creativity",4.8379594474449865,5,2,1,1,8,0,4,0,4,4,3,0,1,1
Chemistry,Investment Banker,"Team Leadership, Creativity, Time Management",4.007516899236082,4,1,4,0,8,1,2,0,3,4,0,1,3,0
Engineering,Software Developer,"Critical Thinking, Python, SQL",4.501043198903908,2,1,4,1,9,0,4,0,3,3,0,3,3,0
Finance,Entrepreneur,"Python, Communication, Team Leadership",4.343937224021853,3,2,4,0,8,0,4,1,0,4,2,2,2,0
Business,Animator,"Creativity, Data Analysis, Communication",3.905528282943287,4,2,0,1,4,1,2,3,2,1,1,1,0,0
Music,Financial Analyst,"Team Leadership, Time Management, SQL",2.542040868625402,8,2,0,1,8,1,0,2,3,3,3,3,0,1
Marketing,Risk Analyst,"Critical Thinking, Python, Communication",4.665697845168566,1,2,0,1,6,0,2,0,3,1,1,4,1,0
Architecture,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",2.892668236464138,3,1,4,1,4,0,0,4,3,3,4,2,3,0
Computer Science,Legal Secretary,"Problem Solving, Creativity, SQL",4.890931552076206,2,2,4,1,9,0,0,3,2,4,4,2,2,1
Computer Science,School Counselor,"Team Leadership, Creativity, Critical Thinking",4.335323722922068,2,2,3,1,2,1,0,1,2,4,4,1,1,0
Engineering,Chemical Engineer,"SQL, Team Leadership, Critical Thinking",4.823510457334699,9,2,0,1,5,0,1,0,3,1,2,3,3,0
Education,Curriculum Developer,"Data Analysis, Problem Solving, Time Management",3.5594576995252347,5,2,1,1,5,0,3,2,0,2,1,1,4,1
Biology,Financial Controller,"Communication, Problem Solving, Time Management",2.511533030105653,2,1,4,1,0,1,3,4,4,0,3,1,0,0
Computer Science,Interior Designer,"SQL, Time Management, Critical Thinking",3.9743073531514073,0,1,1,1,6,0,2,0,4,0,3,0,1,1
Marketing,Acoustics Specialist,"Research, Data Analysis, SQL",3.8219319333780333,6,1,4,1,0,1,0,0,0,0,3,0,3,0
Business,Surgeon,"Time Management, Research, Critical Thinking",4.229287718602075,3,2,3,0,7,1,0,1,0,1,0,2,3,1
Music,Landscape Architect,"Data Analysis, Research, Critical Thinking",3.1509798595225864,7,2,1,1,4,0,4,2,0,2,1,1,3,0
Art,Cybersecurity Analyst,"SQL, Communication, Problem Solving",3.564860471259864,5,0,2,1,4,1,0,1,1,1,2,1,3,1
Law,Software Developer,"Problem Solving, Data Analysis, SQL",4.806838011640146,5,1,4,0,3,1,2,4,3,2,3,4,3,0
Music,Physical Chemist,"Data Analysis, Research, Creativity",4.659026329136616,7,2,2,0,8,0,1,1,3,0,4,2,4,0
Finance,Nuclear Physicist,"Research, Critical Thinking, Time Management",3.740779228521899,4,2,4,1,7,1,3,0,3,2,2,2,3,1
Education,Human Resources Specialist,"SQL, Team Leadership, Python",2.85366082004324,7,2,0,0,8,1,4,3,4,2,4,1,3,1
Biology,Architect,"Critical Thinking, Creativity, SQL",4.360984750580078,0,2,4,0,8,0,1,0,2,1,4,1,2,1
Music,Biologist,"Problem Solving, Data Analysis, Python",2.759473877544539,2,1,2,1,0,0,2,2,1,0,1,4,1,1
Music,Chemical Engineer,"Time Management, Problem Solving, Research",3.3639437670387045,4,0,0,1,5,0,1,3,0,4,1,2,0,0
Business,Architectural Technologist,"Communication, Problem Solving, Time Management",3.9033348046268435,9,1,4,0,7,0,2,4,3,1,1,0,3,1
Biology,Art Director,"Creative Thinking, Graphic Design, Adobe Suite",2.9789319226331616,8,0,0,1,4,1,2,3,2,2,3,4,1,0
Medicine,Dentist,"Research, Critical Thinking, Problem Solving",2.995707282527175,1,0,3,0,6,1,4,4,2,3,1,1,4,1
Art,Illustrator,"Problem Solving, Communication, Creativity",3.050685485167966,0,2,1,0,4,0,4,2,4,2,2,4,1,0
Marketing,Civil Engineer,"Time Management, Research, Creativity",3.7338981470950983,7,0,0,1,8,1,1,3,2,2,4,0,1,0
Psychology,Zoologist,"Communication, Research, Creativity",4.359776228990081,8,0,4,0,5,0,2,0,4,4,4,2,0,0
Physics,Music Teacher,"Communication, Problem Solving, Team Leadership",4.601498782214982,1,2,0,1,0,0,4,0,0,2,3,1,2,1
Computer Science,Dentist,"Research, Time Management, Team Leadership",3.0111809676799997,2,1,1,1,3,0,1,2,0,3,3,1,4,0
Marketing,Special Education Teacher,"Critical Thinking, Data Analysis, Python",4.533770654248632,4,1,4,1,0,0,2,1,4,0,3,3,2,1
Biology,Accountant,"SQL, Research, Problem Solving",3.3390162977244087,7,2,4,0,1,0,3,4,3,3,4,3,1,1
Education,Legal Secretary,"Data Analysis, Research, Python",4.507966680928258,1,2,3,0,5,0,1,2,1,4,4,2,1,0
Chemistry,Architectural Technologist,"Creativity, Python, SQL",4.5200801936950175,8,1,1,0,2,0,4,2,3,0,3,1,4,1
Medicine,Architectural Technologist,"Communication, Creativity, Data Analysis",4.858288315644513,6,2,2,1,5,1,0,1,2,0,0,4,0,0
Education,Biologist,"Problem Solving, SQL, Time Management",4.0666622103618675,7,1,0,1,5,0,4,2,3,0,0,3,1,1
Psychology,Illustrator,"Creativity, Communication, Team Leadership",4.989179286908788,8,1,0,0,9,1,2,0,3,0,2,3,0,1
Music,Music Teacher,"Communication, Problem Solving, Time Management",4.552950903148808,8,2,1,1,2,1,2,3,4,4,2,4,3,0
Architecture,Physician Assistant,"Python, Critical Thinking, SQL",4.675236980264223,2,1,1,1,9,0,0,4,3,2,1,4,4,1
Education,Chemical Engineer,"Creativity, Communication, Time Management",3.8721168209345893,4,0,2,1,2,0,4,3,3,0,3,0,1,1
Physics,Physical Chemist,"Python, Creativity, Problem Solving",3.751908015482279,3,2,1,0,8,1,1,1,1,2,4,0,1,0
Architecture,Architect,"Critical Thinking, Research, Python",4.235424787676445,5,2,3,1,1,1,4,2,0,4,3,2,3,1
Art,Civil Engineer,"Data Analysis, Team Leadership, SQL",3.192729089869724,0,0,4,1,0,1,3,4,2,3,2,1,4,1
Law,Web Developer,"Problem Solving, Python, Data Analysis",4.961761956347791,6,2,4,1,9,1,3,3,2,0,2,2,2,1
